id,htid,description,title_x,imprint,rights_date_used,pub_place,bib_fmt,content_provider_code,digitization_agent_code,author_x,pubDate,title_y,publication,physicalDescription,author_y,extraAuthor,editionStatement,bibliographyEtcNote,authorCorporate,locSubject
nyp.33433069123424,008626541,,"Collections and observations concerning the worship, discipline, and government of the Church of Scotland : in four books / by Walter Steuart of Pardovan ; unto which are added The form of process in the judicatures of the church with relation to scandals and censures ; and The second book of discipline, or, Heads and conclusions of ""the policy of the kirk"" approved of by Act of Assembly 1581 ; also, A chapter of a celebrated treatise concerning the causes of the present corruption of Christians and the remedies thereof, by the Reverend Professor Ostervald at Neufchatel in Switzerland.","Sold by W. Gray and R. Inglis, 1770.",1770,stk,BK,nypl,google,"Steuart, Walter, d. 1764",1770,"Collections and observations concerning the worship, discipline, and government of the Church of Scotland :in four books /by Walter Steuart of Pardovan ; unto which are added The form of process in the judicatures of the church with relation to scandals and censures ; and The second book of discipline, or, Heads and conclusions of ""the policy of the kirk"" approved of by Act of Assembly 1581 ; also, A chapter of a celebrated treatise concerning the causes of the present corruption of Christians and the remedies thereof, by the Reverend Professor Ostervald at Neufchatel in Switzerland","Edinburgh :Sold by W. Gray and R. Inglis,1770","xvi, 304 p. ;21 cm","Steuart, Walter,d. 1764","Ostervald, Jean FreÌdeÌric,1663-1747.Treatise concerning the causes of the present corruption of Christians",,,,Church of Scotland---Discipline._Church of Scotland---Politics and government
mdp.39015063896537,000383254,,A short comment on Sir I. Newton's Principia. Containing notes upon some difficult places of that excellent book ...,"Printed for J. Nourse, 1770.",1770,enk,BK,umich,google,"Emerson, William, 1701-1782",1770,A short comment on Sir I. Newton's Principia.Containing notes upon some difficult places of that excellent book ,"London,Printed for J. Nourse,1770","iv, 5-157, [1] p., 71 diagrs. on v fold. pl.22 cm","Emerson, William,1701-1782",,,,,"Newton, Isaac,---1642-1727.---Principia"
mdp.39015059378763,000158257,v.3,A collection of poems in six volumes. By several hands,"Printed for J. Dodsley, 1770",1770,enk,BK,umich,google,"Dodsley, Robert, 1704-1764",1770,A collection of poems in six volumes.By several hands,"London,Printed for J. Dodsley,1770",6 v. ;18 cm,"Dodsley, Robert,1704-1764",,,,,Imprints---18th century---England---London.---local_English poetry---18th century
nyp.33433074908363,001016574,v. 2,"The dramatic censor; or, Critical companion ...","J. Bell; [etc., etc.] 1770.",1770,enk,BK,nypl,google,"Gentleman, Francis, 1728-1784",1770,"The dramatic censor;or, Critical companion ","London,J. Bell; [etc., etc.]1770",2 v.front. (v. 2)21 cm,"Gentleman, Francis,1728-1784",,,,,English drama---History and criticism
chi.79392137,100722772,c.1 n.3-38 Mar-Nov 1770,The Whisperer.,"W. Moore, 1770-1772.",1770,enk,SE,uchicago,google,,1770,The Whisperer,"[London] :W. Moore,1770-1772",100 v. ;32 cm,,"Moore, William",,,,Great Britain---Politics and government---1760-1789---Periodicals
uc1.31822043032788,102320904,,"A review of the bloody tribunal : or the horrid cruelties of the inquisition, as practiced in Spain, Portugal, Italy, and the East and West Indies, on all those whom the Church of Rome brands with the name of hereticks / by John Marchant and others","printed and sold by G. Johnston ..., 1770",1770,stk,BK,universityofcalifornia,google,"Marchant, John, active 1745",1770,"A review of the bloody tribunal :or the horrid cruelties of the inquisition, as practiced in Spain, Portugal, Italy, and the East and West Indies, on all those whom the Church of Rome brands with the name of hereticks /by John Marchant and others","Perth, [Scotland] :printed and sold by G. Johnston ...,1770",384 pages ;19 cm,"Marchant, John,active 1745","Johnston, G.,printer",,,,"Inquisition---West Indies---Early works to 1800_Inquisition---Europe, Southern---Early works to 1800"
uc1.31175034882384,012393602,,An act for more effectually preventing traders in exciseable commodities from using false weights and scales : and for explaining and amending several acts of Parliament relating to hackney coaches and chairs.,"Printed by Charles Eyre and William Strahan ..., 1770]",1770,enk,BK,universityofcalifornia,google,Great Britain,1770,An act for more effectually preventing traders in exciseable commodities from using false weights and scales :and for explaining and amending several acts of Parliament relating to hackney coaches and chairs,"[London :Printed by Charles Eyre and William Strahan ...,1770]","[2] p., p. 747-751, [1] p. ;31 cm. (fol.)",,,,,Great Britain,Carriages and carts---Law and legislation---Great Britain._Weights and measures---Law and legislation---Great Britain
nyp.33433081657565,008696426,v. 1 (1770),"The Repository, or, Treasury of politics and literature for ... : being a complete collection of the best letters (including those of Junius) and essays from the daily papers.","J. Murray, 1771-",1770,enk,SE,nypl,google,,1770,"The Repository, or, Treasury of politics and literature for ... :being a complete collection of the best letters (including those of Junius) and essays from the daily papers","London :J. Murray,1771",v. ;25 cm,,,,,,United States---Politics and government---19th century---Periodicals._Letters to the editor
hvd.hw3q4y,007692974,v.4,"Memoirs of Maximilian de Bethune, Duke of Sully, prime minister of Henry the Great. Newly translated from the French ed. of m. de L'Ecluse.  To which is annexed, The trial of Francis Ravaillac, for the murder of Henry the Great.","Printed by A. Donaldson, 1770.",1770,stk,BK,harvard,google,"Sully, Maximilien de BeÌthune, duc de, 1559-1641",1770,"Memoirs of Maximilian de Bethune, Duke of Sully, prime minister of Henry the Great.Newly translated from the French ed. of m. de L'Ecluse.  To which is annexed, The trial of Francis Ravaillac, for the murder of Henry the Great","Edinburgh :Printed by A. Donaldson,1770",5 v.21 cm,"Sully, Maximilien de BeÌthune,duc de,1559-1641",,,,,"France---History---Henri IV, 1589-1610._Ravaillac, FrancÌ§ois,---1578-1610._Henry---IV,---King of France,---1553-1610"
nyp.33433069115966,002081660,,"A chronological history of the weather and seasons, and of the prevailing diseases in Dublin : with the various periods, successions, and revolutions, during the space of forty years : with a comparative view of the difference of the Irish climate and diseases, and those of England and other countries / by John Rutty.","Printed for Robinson and Roberts, 1770.",1770,enk,BK,nypl,google,"Rutty, John, 1698-1775",1770,"A chronological history of the weather and seasons, and of the prevailing diseases in Dublin :with the various periods, successions, and revolutions, during the space of forty years : with a comparative view of the difference of the Irish climate and diseases, and those of England and other countries /by John Rutty","London :Printed for Robinson and Roberts,1770","2 p.â„“., xlviii, 340 p. ;21 cm","Rutty, John,1698-1775",,,,,Ireland---Climate---Early works to 1800._England---Climate---Early works to 1800._Medical climatology---Early works to 1800._Human beings---Effect of climate on---Early works to 1800._Weather---History---Early works to 1800._Weather---England---Early works to 1800._Weather---Ireland---Early works to 1800
osu.32435058007683,001235684,v.1,"Northern antiquities: or, A description of the manners, customs, religion and laws of the ancient Danes, and other northern nations; including those of our own Saxon ancestors. With a translation of the Edda, or system of runic mythology, and other pieces, from the ancient Islandic tongue ... Tr. from Mons. Mallet's Introduction aÌ€ l'histoire de Dannemarc, &c. With additional notes by the English translator and Goranson's Latin version of the Edda ...","T. Carnan and Co., 1770.",1770,enk,BK,osu,google,"Mallet, Paul Henri, 1730-1807",1770,"Northern antiquities: or, A description of the manners, customs, religion and laws of the ancient Danes, and other northern nations;including those of our own Saxon ancestors. With a translation of the Edda, or system of runic mythology, and other pieces, from the ancient Islandic tongue ...Tr. from Mons. Mallet's Introduction aÌ€ l'histoire de Dannemarc, &c. With additional notes by the English translator and Goranson's Latin version of the Edda ","London :T. Carnan and Co.,1770",2 v.22 cm,"Mallet, Paul Henri,1730-1807","Percy, Thomas,1729-1811._GoÌˆransson, Johan,1712-1769",,,,Scandinavia---Antiquities
mdp.39015063965555,001504447,v.2,A new system of husbandry.,"Printed for the author by N. Nickson, 1770.",1770,enk,BK,umich,google,"Varlo, Charles, approximately 1725-approximately 1795",1770,A new system of husbandry,"York,Printed for the author by N. Nickson,1770",3 v.front. (fold. tab.)21 cm,"Varlo, Charles,approximately 1725-approximately 1795",,,,,Agriculture
nyp.33433066661590,008644892,,"A complete collection of Junius's letters, with those of Sir William Draper.","Printed for A. Thomson, 1770.",1770,enk,BK,nypl,google,"Junius, 18th cent",1770,"A complete collection of Junius's letters, with those of Sir William Draper","London,Printed for A. Thomson,1770",177 p.21 cm,"Junius,18th cent","Draper, William,Sir,1721-1787",,,,Great Britain---Politics and government---1760-1820
mdp.39015034356660,000108456,,"A new history of Scotland, from the earliest accounts to the present time.","Printed for E. and C. Dilly, 1770.",1770,enk,BK,umich,google,"Belfour, John",1770,"A new history of Scotland, from the earliest accounts to the present time","London,Printed for E. and C. Dilly,1770","vi, 294 p.illus., map","Belfour, John",,,,,Scotland---History
mdp.35112203490042,010429020,,"Letters to the Honourable Mr. Justice Blackstone, concerning his exposition of the Act of toleration, and some positions relative to religious liberty, in his celebrated Commentaries on the laws of England. By Philip Furneaux","Printed for T. Cadell, 1770",1770,enk,BK,umich,google,"Furneaux, Philip, 1726-1783",1770,"Letters to the Honourable Mr. Justice Blackstone,concerning his exposition of the Act of toleration, and some positions relative to religious liberty, in his celebrated Commentaries on the laws of England.By Philip Furneaux","London,Printed for T. Cadell,1770","1 prelim. leaf, xv, [1], 166 p.21 cm","Furneaux, Philip,1726-1783","Blackstone, William,1723-1780.Commentaries on the laws of England",,,,Freedom of religion
hvd.hxjncx,001016574,v.2,"The dramatic censor; or, Critical companion ...","J. Bell; [etc., etc.] 1770.",1770,enk,BK,harvard,google,"Gentleman, Francis, 1728-1784",1770,"The dramatic censor;or, Critical companion ","London,J. Bell; [etc., etc.]1770",2 v.front. (v. 2)21 cm,"Gentleman, Francis,1728-1784",,,,,English drama---History and criticism
mdp.39015031933198,102831259,v.1,"Northern antiquities, or, A description of the manners, customs, religion and laws of the ancient Danes, and other northern nations : including those of our own Saxon ancestors : with a translation of the Edda, or system of Runic mythology, and other pieces, from the ancient Islandic tongue ... / translated from Mons. Mallet's Introduction a l'histoire de Dannemarc, &c. ; with additional notes by the English translator, and Goranson's Latin version of the Edda.","Printed for T. Carnan and Co. ..., 1770.",1770,enk,BK,umich,google,"Mallet, Paul Henri, 1730-1807",1770,"Northern antiquities,or, A description of the manners, customs, religion and laws of the ancient Danes, and other northern nations : including those of our own Saxon ancestors : with a translation of the Edda, or system of Runic mythology, and other pieces, from the ancient Islandic tongue ... /translated from Mons. Mallet's Introduction a l'histoire de Dannemarc, &c. ; with additional notes by the English translator, and Goranson's Latin version of the Edda","London :Printed for T. Carnan and Co. ...,1770",2 v,"Mallet, Paul Henri,1730-1807","Keaton, E. D.(bookplate)_Percy, Thomas,1729-1811._GÃ¶ransson, Johan,1712-1769",,,,Scandinavia---Antiquities_Scandinavia---Civilization_Eddas
mdp.35112104078243,010464616,,"Of the courts of pypowder / by John Pettingall, D.D. ; read March 4, 1762",1770,1770,enk,BK,umich,google,"Pettingal, John, 1708-1781",1770,"Of the courts of pypowder /by John Pettingall, D.D. ; read March 4, 1762","[London],1770",p. 190-203 ;28 cm,"Pettingal, John,1708-1781",,,,,Courts---Great Britain
nyp.33433081657557,008696426,v. 2 (1770),"The Repository, or, Treasury of politics and literature for ... : being a complete collection of the best letters (including those of Junius) and essays from the daily papers.","J. Murray, 1771-",1770,enk,SE,nypl,google,,1770,"The Repository, or, Treasury of politics and literature for ... :being a complete collection of the best letters (including those of Junius) and essays from the daily papers","London :J. Murray,1771",v. ;25 cm,,,,,,United States---Politics and government---19th century---Periodicals._Letters to the editor
njp.32101075433373,010251019,,Aretin : a dialogue on painting from the Italian of Lodovico Dolce.,"Printed for P. Elmsley ... and sold by I. Dodsley ..., G. Pearch ..., M. Hingeston ..., D. Prince ..., and Mr. Braim ..., 1770.",1770,enk,BK,princeton,google,"Dolce, Lodovico, 1508-1568",1770,Aretin :a dialogue on painting from the Italian of Lodovico Dolce,"London :Printed for P. Elmsley ... and sold by I. Dodsley ..., G. Pearch ..., M. Hingeston ..., D. Prince ..., and Mr. Braim ...,1770","[8], xviii, [2], 262, [2] p. ;21 cm. (8vo)","Dolce, Lodovico,1508-1568","Elmsley, Peter,1734 or 1735-1802._Aretino, Pietro,1492-1556._Brown, W",,,,Dialogues---Italy---16th century.---aat_Painting---Early works to 1800
nyp.33433001046055,008591110,,Letters of M. de Voltaire to several of his friends / translated from the French by T. Franklin.,"Printed for R. Urie, 1770.",1770,stk,BK,nypl,google,"Voltaire, 1694-1778",1770,Letters of M. de Voltaire to several of his friends /translated from the French by T. Franklin,"Glasgow :Printed for R. Urie,1770",162 p. ;18 cm,"Voltaire,1694-1778","Francklin, Thomas,1721-1784",,,,"Voltaire,---1694-1778---Correspondence._Philosophers---France---Correspondence._Authors, French---18th century---Correspondence"
nyp.33433082474911,008643076,v. 3,"The present state of Europe: : exhibiting a view of the natural and civil history of the several countries and kingdoms ... To which is prefixed, an introductory discourse on the principles of polity and government. / By M. E. Totze ... ; Translated from the German by Thomas Nugent ...","Printed for J. Nourse ..., 1770.",1770,enk,BK,nypl,google,"Toze, Eobald, 1715-1789",1770,"The present state of Europe: :exhibiting a view of the natural and civil history of the several countries and kingdoms ... To which is prefixed, an introductory discourse on the principles of polity and government. /By M. E. Totze ... ; Translated from the German by Thomas Nugent ","London, :Printed for J. Nourse ...,1770",3 v. ;23 cm. (8vo),"Toze, Eobald,1715-1789","Nugent, Thomas,1700?-1772",,Includes bibliographical references,,Europe---History---1648-1789
nyp.33433056927878,008611290,,"The court and country confectioner: or, The house-keeper's guide; to a more speedy, plain, and familiar method of understanding the whole art of confectionary, pastry, distilling, and the making of fine flavoured English wines from all kinds of fruits, herbs, and flowers ... By an ingenious foreigner, now head confectioner to the Spanish ambassador in England.",G. Riley and A. Cooke [etc.] 1770.,1770,enk,BK,nypl,google,Borella,1770,"The court and country confectioner: or, The house-keeper's guide; to a more speedy, plain, and familiar method of understanding the whole art of confectionary, pastry, distilling, and the making of fine flavoured English wines from all kinds of fruits, herbs, and flowers ...By an ingenious foreigner, now head confectioner to the Spanish ambassador in England","London,G. Riley and A. Cooke [etc.]1770","1 p. â„“., ii, 3, xxiii, [1], 271, 46 p.18 cm",Borella,"Borella,Mr",,,,"Wine and wine making._Ice cream, ices, etc._Confectionery"
mdp.39015059378771,000158257,v.2,A collection of poems in six volumes. By several hands,"Printed for J. Dodsley, 1770",1770,enk,BK,umich,google,"Dodsley, Robert, 1704-1764",1770,A collection of poems in six volumes.By several hands,"London,Printed for J. Dodsley,1770",6 v. ;18 cm,"Dodsley, Robert,1704-1764",,,,,Imprints---18th century---England---London.---local_English poetry---18th century
njp.32101067678506,005812037,,"A dissertation on divine justice, or, The claims of vindicatory justice asserted : in this work that essential property of the divine nature is demonstrated from the sacred writings, and clearly defended against Socinus and his followers ... / now first translated from the origiinal Latin of John Owen ; with a recommendatory preface by John Stafford, and others.","Printed for and sold by L.J. Higham ..., and J. Murgatroyd ..., [1770?]",1770,enk,BK,princeton,google,"Owen, John, 1616-1683",1770,"A dissertation on divine justice, or, The claims of vindicatory justice asserted :in this work that essential property of the divine nature is demonstrated from the sacred writings, and clearly defended against Socinus and his followers ... /now first translated from the origiinal Latin of John Owen ; with a recommendatory preface by John Stafford, and others","London :Printed for and sold by L.J. Higham ..., and J. Murgatroyd ...,[1770?]","xxxvi, 288 p. ;18 cm. (12mo)","Owen, John,1616-1683",,,,,Socinianism
mdp.39015062770907,001623378,,"A complete treatise of practical navigation, demonstrated from it's first principles:",Printed for W. Mount [etc.] 1770.,1770,enk,BK,umich,google,"Patoun, Archibald",1770,"A complete treatise of practical navigation, demonstrated from it's first principles:","London,Printed for W. Mount [etc.]1770","xii, 525 p.incl. tables, diagrs. fold. pl.21 cm","Patoun, Archibald",,,,,Navigation---Tables_Navigation---Early works to 1800
nyp.33433024587200,012313453,,"A survey of the British customs : containing the rates of merchandize as established by 12 Car. II. c. 4, 11 Geo. I. c. 7, and other statutes ; with tables of the net duties, drawbacks, bounties, &c. payable thereon ... Also a distinct and practical account of the several branches of the revenue called customs. With an appendix, containing an abstract of all the laws now in force relative to the customs. The whole continued to the end of the session of 9 Geo. III. / by Samuel Baldwin.","Printed for J. Nourse, 1770.",1770,enk,BK,nypl,google,"Baldwin, Samuel",1770,"A survey of the British customs :containing the rates of merchandize as established by 12 Car. II. c. 4, 11 Geo. I. c. 7, and other statutes ; with tables of the net duties, drawbacks, bounties, &c. payable thereon ... Also a distinct and practical account of the several branches of the revenue called customs. With an appendix, containing an abstract of all the laws now in force relative to the customs. The whole continued to the end of the session of 9 Geo. III. /by Samuel Baldwin","London :Printed for J. Nourse,1770","[6], ix, [3], 228, [2], 304, [4], 39 p. ;28 cm","Baldwin, Samuel",,,,"Great Britain.Laws, etc._Great Britain.Customs Establishment",Law---Great Britain._Customs administration---Great Britain._Tariff---Law and legislation---Great Britain
njp.32101037715388,004193766,,"The lamentable and true tragedie of M. Arden, of Feversham, in Kent. Who was most wickedlye murdered, by the means of his disloyall and wanton wyfe. With a preface; in which some reasons are offered, in favour of its being the earliest dramatic work of Shakespear now remainng; and a genuine account given of the murder from authentic papers of the time.  London, Printed for Edward White, 1592.","Re-printed verbatim by J. & J. March. for S. Doorne, at Feversham, Mess. Hawes & Co., 1770.",1770,enk,BK,princeton,google,Arden of Feversham,1770,"The lamentable and true tragedie of M. Arden, of Feversham, in Kent.Who was most wickedlye murdered, by the means of his disloyall and wanton wyfe.With a preface; in which some reasons are offered, in favour of its being the earliest dramatic work of Shakespear now remainng; and a genuine account given of the murder from authentic papers of the time.  London, Printed for Edward White, 1592","London,Re-printed verbatim by J. & J. March. for S. Doorne, at Feversham, Mess. Hawes & Co.,1770","2 p l., [iii]-vi, [2], 88 p.21 cm",Arden of Feversham,"Shakespeare, William,1564-1616._Jacob, Edward,1709 or 10-1788,ed",,,,"Arden, Thomas,---d. 1551"
