bigram	count
#bi_of_my	46299
#bi_this_is	46287
#bi_when_the	45981
#bi_shall_be	45643
#bi_a_man	45441
#bi_if_the	44873
#bi_and_he	44701
#bi_according_to	44194
#bi_him_to	43673
#bi_of_which	43159
#bi_#romannumeral_#romannumeral	42698
#bi_and_of	42584
#bi_p_#arabicnumeral	42309
#bi_we_have	42207
#bi_as_it	42080
#bi_#personalname_s	41235
#bi_was_the	41108
#bi_the_people	40964
#bi_we_are	40663
#bi_#personalname_and	40583
#bi_i_will	40581
#bi_would_be	40528
#bi_a_great	40283
#bi_be_the	40178
#bi_should_be	40059
#bi_in_which	40054
#bi_in_all	40038
#bi_under_the	39916
#bi_not_be	39629
#bi_them_to	39362
#bi_to_their	38878
#bi_and_all	38779
#bi_him_and	38691
#bi_#personalname_#romannumeral	38522
#bi_as_well	38428
#bi_could_not	37973
#bi_which_they	37699
#bi_#arabicnumeral_o	37660
#bi_it_and	37348
#bi_and_as	36492
#bi_was_not	36487
#bi_as_he	36223
#bi_be_a	35955
#bi_did_not	35926
#bi_was_a	35686
#bi_the_great	35636
#bi_before_the	35622
#bi_of_an	35563
#bi_them_and	35180
#bi_that_of	34840
#bi_has_been	34765
#bi_of_those	34764
#bi_when_he	34565
#bi_and_if	34421
#bi_which_was	34243
#bi_as_they	34037
#bi_it_to	33953
#bi_to_this	33913
#bi_they_have	33759
#bi_in_that	33684
#bi_which_i	33617
#bi_they_had	33384
#bi_not_only	33340
#bi_o_#arabicnumeral	33124
#bi_and_it	33108
#bi_of_her	32932
#bi_the_church	32770
#bi_or_the	32631
#bi_to_do	32588
#bi_by_his	32437
#bi_god_and	32273
#bi_after_the	32240
#bi_the_time	32222
#bi_those_who	32159
#bi_a_very	31936
#bi_to_give	31737
#bi_against_the	31699
#bi_for_his	31659
#bi_so_much	31637
#bi_to_them	31545
#bi_ought_to	31428
#bi_of_your	31386
#bi_and_by	31366
#bi_more_than	31335
#bi_are_not	31265
#bi_will_not	31234
#bi_#romannumeral_i	31229
#bi_do_not	31199
#bi_that_we	31172
#bi_and_#personalname	31165
#bi_of_these	30688
#bi_and_they	30629
#bi_well_as	30626
#bi_would_have	30609
#bi_as_i	30284
#bi_so_that	30209
#bi_if_he	30123
#bi_and_so	29723
#bi_#personalname_#personalname	29698
#bi_which_are	29621
#bi_not_the	29541
#bi_is_in	29506
#bi_a_little	29247
#bi_than_the	29140
#bi_their_own	29125
#bi_sir_#personalname	29043
#bi_he_has	28995
#bi_and_therefore	28807
#bi_#romannumeral_the	28547
#bi_there_are	28262
#bi_of_any	28172
#bi_can_be	28169
#bi_#arabicnumeral_a	28137
#bi_i_was	28111
#bi_#arabicnumeral_to	27710
#bi_are_the	27561
#bi_in_order	27561
#bi_the_earth	27558
#bi_and_then	27457
#bi_the_house	27423
#bi_what_is	27309
#bi_it_will	27286
#bi_with_his	27278
#bi_to_all	27263
#bi_to_#placename	27092
#bi_is_no	26959
#bi_no_more	26871
#bi_the_law	26867
#bi_to_me	26733
#bi_to_take	26712
#bi_#arabicnumeral_#personalname	26507
#bi_#personalname_the	26499
#bi_must_be	26489
#bi_you_have	26424
#bi_through_the	26405
#bi_would_not	26381
#bi_it_#monthoftheyear	26291
#bi_#monthoftheyear_#arabicnumeral	26224
#bi_and_when	26132
#bi_when_they	26110
#bi_might_be	26096
#bi_such_as	26093
#bi_and_not	26058
#bi_he_would	25972
#bi_in_my	25865
#bi_it_in	25825
#bi_that_in	25783
#bi_to_that	25707
#bi_if_they	25290
#bi_have_a	25216
#bi_it_be	25200
#bi_account_of	25172
#bi_king_of	25165
#bi_st_#personalname	24847
#bi_and_for	24823
#bi_if_it	24807
#bi_order_to	24792
#bi_there_was	24744
#bi_who_had	24688
#bi_all_that	24651
#bi_them_in	24561
#bi_to_which	24499
#bi_but_i	24445
#bi_me_to	24342
#bi_we_#monthoftheyear	24253
#bi_of_such	24180
#bi_was_to	23861
#bi_and_this	23773
#bi_that_a	23760
#bi_for_it	23743
#bi_that_there	23616
#bi_any_other	23615
#bi_you_are	23520
#bi_where_the	23442
#bi_i_had	23421
#bi_him_in	23417
#bi_use_of	23291
#bi_is_that	23262
#bi_and_with	23156
#bi_of_#arabicnumeral	23103
#bi_but_that	22974
#bi_number_of	22934
#bi_god_s	22827
#bi_of_#monthoftheyear	22717
#bi_and_their	22680
#bi_the_holy	22644
#bi_that_this	22630
#bi_into_a	22622
#bi_if_you	22593
#bi_i_i	22513
#bi_the_son	22441
#bi_it_would	22398
#bi_the_present	22287
#bi_that_which	22269
#bi_the_name	22262
#bi_all_his	22101
#bi_son_of	22070
#bi_able_to	22052
#bi_to_my	22031
#bi_with_him	21925
#bi_the_second	21916
#bi_i_#romannumeral	21777
#bi_by_which	21692
#bi_the_year	21686
#bi_to_it	21625
#bi_the_word	21589
#bi_i_shall	21573
#bi_in_it	21556
#bi_end_of	21541
#bi_unto_the	21480
#bi_at_#placename	21428
#bi_for_their	21428
#bi_to_#personalname	21410
#bi_the_two	21402
#bi_#romannumeral_and	21347
#bi_name_of	21280
#bi_in_our	21269
#bi_#personalname_#arabicnumeral	21253
#bi_of_men	21188
#bi_the_very	21147
#bi_in_#arabicnumeral	21129
#bi_among_the	21122
#bi_the_end	21088
#bi_the_body	21058
#bi_to_see	21013
#bi_have_the	20944
#bi_#arabicnumeral_for	20923
#bi_had_not	20904
#bi_with_all	20833
#bi_does_not	20807
#bi_a_good	20801
#bi_are_to	20736
#bi_for_this	20704
#bi_you_will	20542
#bi_that_are	20529
#bi_the_public	20523
#bi_but_in	20395
#bi_the_more	20393
#bi_for_that	20392
#bi_to_her	20371
#bi_the_day	20362
#bi_of_its	20348
#bi_at_a	20347
#bi_over_the	20324
#bi_time_of	20321
#bi_some_of	20317
#bi_but_it	20284
#bi_who_was	20238
#bi_and_is	20194
#bi_which_we	20192
#bi_if_we	20159
#bi_from_a	20143
#bi_was_in	20061
#bi_be_made	20046
#bi_the_next	20017
#bi_king_s	19992
#bi_come_to	19779
#bi_to_our	19761
#bi_mr_#personalname	19761
#bi_the_greatest	19633
#bi_the_court	19576
#bi_but_to	19560
#bi_between_the	19560
#bi_as_if	19524
#bi_as_in	19490
#bi_but_if	19453
#bi_the_rest	19451
#bi_on_a	19356
#bi_and_other	19305
#bi_power_of	19276
#bi_by_this	19167
#bi_#arabicnumeral_s	19158
#bi_who_are	19145
#bi_the_following	19106
#bi_in_any	18973
#bi_which_it	18973
#bi_parts_of	18917
#bi_but_a	18906
#bi_let_us	18885
#bi_to_you	18870
#bi_#arabicnumeral_in	18856
#bi_any_of	18772
#bi_cannot_be	18761
#bi_of_christ	18755
#bi_to_say	18752
#bi_about_the	18711
#bi_be_in	18694
#bi_if_i	18692
#bi_a_few	18666
#bi_and_there	18657
#bi_to_god	18563
#bi_the_last	18552
#bi_that_you	18546
#bi_them_that	18523
#bi_and_#arabicnumeral	18509
#bi_of_life	18483
#bi_#arabicnumeral_but	18451
#bi_him_that	18381
#bi_from_his	18319
#bi_to_us	18262
#bi_the_gospel	18262
#bi_the_city	18244
#bi_that_if	18229
#bi_the_spirit	18224
#bi_he_will	18205
#bi_at_all	18169
#bi_the_father	18139
#bi_the_right	18100
#bi_and_yet	18093
#bi_he_that	18020
#bi_have_no	17996
#bi_the_power	17996
#bi_for_ever	17899
#bi_of_him	17888
#bi_and_was	17801
#bi_us_to	17761
#bi_of_thy	17752
#bi_the_former	17743
#bi_i_think	17738
#bi_is_it	17717
#bi_as_we	17668
#bi_but_he	17629
#bi_the_kingdom	17629
#bi_in_such	17627
#bi_by_their	17578
#bi_but_as	17564
#bi_way_of	17523
#bi_of_one	17420
#bi_not_a	17342
#bi_and_at	17334
#bi_same_time	17274
#bi_it_the	17204
#bi_#placename_the	17158
#bi_all_things	17086
#bi_as_much	17060
#bi_on_his	17055
#bi_the_land	17009
#bi_#arabicnumeral_he	17006
#bi_the_only	16984
#bi_the_cafe	16962
#bi_him_the	16961
#bi_the_place	16951
#bi_#arabicnumeral_of	16928
#bi_or_to	16916
#bi_and_from	16841
#bi_that_all	16813
#bi_i_would	16796
#bi_on_this	16764
#bi_to_your	16709
#bi_the_#arabicnumeral	16608
#bi_i_do	16561
#bi_the_truth	16550
#bi_at_least	16499
#bi_s_#arabicnumeral	16492
#bi_house_of	16479
#bi_he_could	16447
#bi_and_what	16402
#bi_had_the	16391
#bi_had_a	16383
#bi_have_not	16365
#bi_like_a	16318
#bi_the_way	16306
#bi_the_country	16290
#bi_i_know	16256
#bi_#romannumeral_a	16249
#bi_who_is	16241
#bi_said_to	16203
#bi_they_#monthoftheyear	16166
#bi_me_and	16075
#bi_when_i	16069
#bi_came_to	16051
#bi_up_the	15975
#bi_were_not	15946
#bi_the_old	15916
#bi_#romannumeral_e	15861
#bi_ver_#arabicnumeral	15846
#bi_it_as	15825
#bi_and_which	15824
#bi_day_of	15809
#bi_this_was	15696
#bi_the_common	15685
#bi_life_and	15676
#bi_i_the	15675
#bi_the_true	15652
#bi_in_an	15617
#bi_his_majesty	15605
#bi_the_latter	15544
#bi_it_has	15542
#bi_to_come	15495
#bi_not_in	15491
#bi_in_her	15472
#bi_the_duke	15434
#bi_#arabicnumeral_that	15423
#bi_obliged_to	15391
#bi_earl_of	15382
#bi_they_would	15334
#bi_and_be	15322
#bi_is_an	15316
#bi_at_this	15298
#bi_who_have	15290
#bi_the_#romannumeral	15244
#bi_kind_of	15231
#bi_b_#arabicnumeral	15214
#bi_#placename_in	15179
#bi_to_any	15179
#bi_those_of	15156
#bi_that_his	15134
#bi_state_of	15115
#bi_#placename_to	15104
#bi_of_what	15083
#bi_are_in	15066
#bi_make_a	15048
#bi_you_#monthoftheyear	14997
#bi_the_general	14993
#bi_what_he	14982
#bi_the_best	14975
#bi_in_your	14941
#bi_with_them	14915
#bi_for_i	14909
#bi_and_#placename	14837
#bi_with_their	14818
#bi_who_were	14817
#bi_#personalname_i	14796
#bi_be_so	14769
#bi_you_to	14761
#bi_with_an	14745
#bi_upon_a	14719
#bi_the_good	14716
#bi_my_lord	14687
#bi_the_french	14676
#bi_or_a	14668
#bi_he_did	14663
#bi_a_new	14643
#bi_they_will	14615
#bi_whom_he	14596
#bi_that_was	14570
#bi_spirit_of	14557
#bi_might_have	14519
#bi_i_can	14517
#bi_time_to	14508
#bi_them_the	14481
#bi_of_being	14467
#bi_in_some	14444
#bi_see_the	14406
#bi_it_were	14374
#bi_to_whom	14354
#bi_duke_of	14341
#bi_he_hath	14337
#bi_in_its	14264
#bi_the_#placename	14259
#bi_a_#romannumeral	14244
#bi_or_any	14222
#bi_chap_#romannumeral	14154
#bi_the_one	14145
#bi_to_go	14035
#bi_the_third	14031
#bi_for_he	14014
#bi_the_jews	13989
#bi_only_to	13953
#bi_the_head	13929
#bi_of_great	13929
#bi_which_were	13915
#bi_to_those	13905
#bi_to_#arabicnumeral	13903
#bi_i_could	13896
#bi_so_far	13807
#bi_the_blood	13784
#bi_i_e	13781
#bi_no_other	13774
#bi_nature_of	13770
#bi_that_time	13751
#bi_in_one	13733
#bi_when_it	13710
#bi_to_keep	13686
#bi_the_nature	13684
#bi_in_every	13683
#bi_our_lord	13657
#bi_the_heart	13634
#bi_but_this	13603
#bi_the_cause	13600
#bi_each_other	13586
#bi_manner_of	13577
#bi_regard_to	13575
#bi_the_new	13570
#bi_want_of	13529
#bi_up_to	13518
#bi_and_we	13515
#bi_without_any	13504
#bi_is_so	13489
#bi_at_his	13449
#bi_the_least	13417
#bi_is_of	13380
#bi_till_the	13315
#bi_of_man	13282
#bi_or_in	13259
#bi_so_many	13243
#bi_the_poor	13240
#bi_where_he	13219
#bi_the_man	13212
#bi_of_every	13161
#bi_not_so	13124
#bi_seems_to	13086
#bi_the_queen	13085
#bi_hall_be	13009
#bi_be_found	13006
#bi_the_soul	12959
#bi_for_all	12934
#bi_it_but	12918
#bi_every_one	12880
#bi_his_father	12864
#bi_the_the	12852
#bi_the_words	12802
#bi_the_author	12742
#bi_men_of	12731
#bi_upon_his	12718
#bi_within_the	12704
#bi_upon_this	12704
#bi_then_the	12689
#bi_when_we	12686
#bi_were_the	12682
#bi_as_you	12674
#bi_#personalname_was	12666
#bi_cause_of	12658
#bi_for_which	12629
#bi_much_as	12608
#bi_without_the	12583
#bi_during_the	12582
#bi_be_of	12577
#bi_him_with	12542
#bi_means_of	12539
#bi_those_that	12525
#bi_it_not	12514
#bi_and_are	12513
#bi_with_which	12442
#bi_is_very	12435
#bi_a_#arabicnumeral	12425
#bi_could_be	12400
#bi_#placename_#arabicnumeral	12386
#bi_all_their	12381
#bi_the_contrary	12335
#bi_though_the	12317
#bi_you_and	12309
#bi_in_general	12298
#bi_us_and	12292
#bi_i_#monthoftheyear	12291
#bi_shall_not	12278
#bi_he_might	12274
#bi_it_for	12264
#bi_made_a	12226
#bi_from_#placename	12211
#bi_of_some	12203
#bi_the_ground	12203
#bi_at_that	12203
#bi_the_mind	12203
#bi_a_certain	12147
#bi_it_with	12129
#bi_from_their	12129
#bi_the_children	12129
#bi_the_air	12102
#bi_i_cannot	12088
#bi_man_s	12085
#bi_had_no	12060
#bi_d_#arabicnumeral	12039
#bi_he_should	12027
#bi_by_#personalname	12018
#bi_them_as	12009
#bi_to_an	12000
#bi_death_of	11997
#bi_of_nature	11996
#bi_he_#monthoftheyear	11994
#bi_what_i	11991
#bi_but_when	11989
#bi_given_to	11975
#bi_a_p	11966
#bi_power_to	11906
#bi_and_on	11904
#bi_the_like	11877
#bi_and_have	11867
#bi_as_an	11856
#bi_and_every	11855
#bi_which_had	11837
#bi_and_will	11816
#bi_#arabicnumeral_t	11802
#bi_all_this	11762
#bi_if_a	11759
#bi_there_were	11754
#bi_#personalname_to	11747
#bi_him_for	11738
#bi_and_had	11730
#bi_to_know	11723
#bi_man_of	11674
#bi_a_more	11670
#bi_the_beginning	11660
#bi_such_an	11658
#bi_e_#arabicnumeral	11658
#bi_and_after	11658
#bi_#personalname_in	11636
#bi_that_were	11633
#bi_them_with	11594
#bi_for_him	11587
#bi_the_death	11568
#bi_with_great	11552
#bi_necessary_to	11545
#bi_than_to	11539
#bi_make_the	11496
#bi_unto_him	11477
#bi_and_my	11458
#bi_for_my	11448
#bi_from_this	11434
#bi_i_should	11428
#bi_the_matter	11428
#bi_many_of	11427
#bi_men_and	11424
#bi_that_no	11400
#bi_#romannumeral_h	11395
#bi_were_to	11384
#bi_time_and	11383
#bi_like_the	11367
#bi_the_crown	11346
#bi_children_of	11338
#bi_my_heart	11333
#bi_the_number	11313
#bi_our_own	11291
#bi_of_heaven	11291
#bi_called_the	11289
#bi_be_no	11278
#bi_far_as	11273
#bi_it_i	11263
#bi_we_shall	11248
#bi_full_of	11248
#bi_him_as	11236
#bi_the_prince	11233
#bi_but_they	11231
#bi_instead_of	11231
#bi_a_d	11217
#bi_i_say	11215
#bi_by_an	11181
#bi_to_bring	11164
#bi_#romannumeral_of	11162
#bi_not_have	11153
#bi_sense_of	11149
#bi_#romannumeral_to	11133
#bi_church_of	11130
#bi_began_to	11094
#bi_thou_art	11091
#bi_let_me	11074
#bi_degree_of	11073
#bi_and_though	11043
#bi_love_and	11006
#bi_that_god	11001
#bi_#personalname_of	10978
#bi_his_life	10965
#bi_enough_to	10952
#bi_what_they	10948
#bi_vol_#romannumeral	10941
#bi_with_this	10938
#bi_or_other	10932
#bi_at_last	10918
#bi_#arabicnumeral_it	10914
#bi_of_st	10910
#bi_for_them	10909
#bi_by_him	10883
#bi_him_a	10880
#bi_in_them	10846
#bi_the_emperor	10831
#bi_nature_and	10823
#bi_us_that	10798
#bi_good_and	10790
#bi_and_more	10789
#bi_was_so	10775
#bi_knowledge_of	10754
#bi_with_her	10738
#bi_to_find	10737
#bi_the_enemy	10733
#bi_#arabicnumeral_b	10733
#bi_sort_of	10722
#bi_but_what	10719
#bi_the_divine	10717
#bi_e_#romannumeral	10706
#bi_s_and	10688
#bi_because_the	10685
#bi_the_use	10663
#bi_king_#personalname	10661
#bi_to_think	10648
#bi_to_such	10638
#bi_god_in	10625
#bi_be_not	10624
#bi_in_vain	10614
#bi_ready_to	10612
#bi_and_#romannumeral	10609
#bi_the_chief	10604
#bi_power_and	10584
#bi_the_earl	10544
#bi_if_any	10540
#bi_thou_hast	10537
#bi_of_#romannumeral	10533
#bi_the_person	10527
#bi_and_let	10515
#bi_this_day	10510
#bi_body_of	10502
#bi_#romannumeral_t	10502
#bi_i_and	10499
#bi_from_all	10498
#bi_it_a	10477
#bi_upon_him	10473
#bi_any_one	10466
#bi_say_that	10442
#bi_to_pay	10439
#bi_i_hope	10438
#bi_capable_of	10432
#bi_course_of	10421
#bi_quantity_of	10417
#bi_is_said	10412
#bi_our_saviour	10411
#bi_towards_the	10394
#bi_lord_and	10393
#bi_world_and	10387
#bi_this_time	10360
#bi_at_length	10341
#bi_#monthoftheyear_not	10334
#bi_in_him	10334
#bi_be_done	10332
#bi_out_the	10321
#bi_the_water	10317
#bi_year_#arabicnumeral	10314
#bi_was_no	10311
#bi_b_#romannumeral	10299
#bi_the_fun	10293
#bi_s_#romannumeral	10284
#bi_r_#arabicnumeral	10271
#bi_is_as	10265
#bi_soon_as	10260
#bi_much_more	10246
#bi_the_several	10246
#bi_cafe_of	10240
#bi_the_laws	10236
#bi_and_an	10233
#bi_the_sea	10198
#bi_my_own	10186
#bi_law_of	10168
#bi_so_as	10164
#bi_god_is	10164
#bi_his_son	10162
#bi_be_to	10162
#bi_by_any	10160
#bi_too_much	10137
#bi_made_to	10116
#bi_be_taken	10104
#bi_but_by	10094
#bi_he_said	10090
#bi_to_put	10083
#bi_the_town	10078
#bi_jesus_christ	10042
#bi_it_had	10034
#bi_to_prevent	10031
#bi_upon_them	10027
#bi_one_another	10019
#bi_court_of	9999
#bi_is_this	9994
#bi_way_to	9987
#bi_nothing_but	9978
#bi_with_it	9975
#bi_they_could	9974
#bi_no_man	9969
#bi_p_#romannumeral	9953
#bi_as_for	9948
#bi_that_as	9947
#bi_he_shall	9931
#bi_concerning_the	9921
#bi_the_#personalname	9909
#bi_it_by	9902
#bi_and_even	9892
#bi_up_in	9888
#bi_place_of	9888
#bi_to_one	9886
#bi_take_the	9875
#bi_them_for	9874
#bi_let_the	9869
#bi_and_who	9853
#bi_with_that	9841
#bi_were_in	9831
#bi_have_done	9830
#bi_or_of	9788
#bi_my_soul	9782
#bi_i_s	9781
#bi_t_#romannumeral	9781
#bi_reason_to	9735
#bi_than_a	9728
#bi_in_these	9728
#bi_equal_to	9715
#bi_god_of	9698
#bi_contrary_to	9689
#bi_man_and	9661
#bi_to_receive	9661
#bi_to_what	9661
#bi_and_make	9646
#bi_me_in	9645
#bi_they_should	9618
#bi_though_he	9615
#bi_as_soon	9612
#bi_as_that	9610
#bi_that_#personalname	9606
#bi_do_you	9595
#bi_at_once	9594
#bi_it_that	9576
#bi_since_the	9568
#bi_upon_it	9567
#bi_from_that	9563
#bi_t_#arabicnumeral	9544
#bi_the_honour	9537
#bi_far_from	9531
#bi_unto_them	9530
#bi_me_i	9525
#bi_be_more	9505
#bi_in_those	9504
#bi_#arabicnumeral_p	9504
#bi_was_made	9498
#bi_is_now	9488
#bi_h_a	9479
#bi_of_there	9430
#bi_a_long	9420
#bi_and_how	9411
#bi_no_longer	9408
#bi_up_and	9407
#bi_of_religion	9399
#bi_form_of	9392
#bi_for_if	9379
#bi_year_of	9378
#bi_at_present	9365
#bi_the_devil	9357
#bi_is_more	9347
#bi_the_english	9338
#bi_word_of	9337
#bi_all_these	9326
#bi_than_that	9307
#bi_there_be	9306
#bi_him_he	9299
#bi_i_a	9287
#bi_with_me	9280
#bi_the_manner	9278
#bi_d_and	9271
#bi_should_have	9254
#bi_for_me	9236
#bi_d_the	9217
#bi_they_might	9214
#bi_on_which	9191
#bi_said_unto	9174
#bi_#monthoftheyear_have	9167
#bi_know_that	9160
#bi_#romannumeral_in	9151
#bi_are_so	9149
#bi_because_they	9145
#bi_this_world	9144
#bi_and_now	9134
#bi_of_mankind	9122
#bi_for_our	9113
#bi_not_been	9102
#bi_that_when	9102
#bi_fi_om	9096
#bi_king_and	9077
#bi_made_the	9070
#bi_us_in	9067
#bi_that_by	9059
#bi_them_but	9058
#bi_by_that	9058
#bi_himself_to	9047
#bi_together_with	9029
#bi_what_the	9023
#bi_the_principal	9018
#bi_if_there	9018
#bi_though_it	8999
#bi_the_pope	8996
#bi_from_him	8992
#bi_kingdom_of	8985
#bi_love_of	8980
#bi_was_at	8978
#bi_#arabicnumeral_e	8972
#bi_is_called	8971
#bi_in_and	8962
#bi_all_my	8958
#bi_e_r	8952
#bi_the_late	8950
#bi_a_person	8945
#bi_#arabicnumeral_r	8941
#bi_the_state	8939
#bi_with_such	8935
#bi_to_hear	8915
#bi_the_i	8914
#bi_god_to	8912
#bi_great_and	8904
#bi_n_#arabicnumeral	8890
#bi_i_believe	8887
#bi_head_of	8886
#bi_these_are	8867
#bi_lord_s	8862
#bi_as_his	8859
#bi_you_that	8856
#bi_we_can	8834
#bi_for_they	8827
#bi_to_pass	8817
#bi_the_company	8811
#bi_because_it	8803
#bi_all_other	8799
#bi_made_by	8792
#bi_majesty_s	8792
#bi_how_to	8779
#bi_be_as	8767
#bi_time_the	8762
#bi_go_to	8743
#bi_#arabicnumeral_d	8739
#bi_and_no	8712
#bi_my_dear	8701
#bi_his_wife	8693
#bi_which_you	8680
#bi_should_not	8678
#bi_whom_the	8664
#bi_in_thy	8654
#bi_that_had	8645
#bi_the_dead	8644
#bi_and_made	8635
#bi_the_work	8631
#bi_every_man	8628
#bi_point_of	8628
#bi_rest_of	8623
#bi_the_light	8609
#bi_they_shall	8601
#bi_we_should	8592
#bi_and_such	8587
#bi_the_nation	8581
#bi_are_of	8569
#bi_even_the	8564
#bi_of_death	8549
#bi_the_hands	8538
#bi_to_speak	8525
#bi_for_you	8524
#bi_this_i	8522
#bi_a_letter	8520
#bi_heaven_and	8510
#bi_as_is	8499
#bi_being_the	8490
#bi_for_your	8485
#bi_all_those	8482
#bi_her_to	8480
#bi_and_others	8480
#bi_for_us	8477
#bi_r_#romannumeral	8473
#bi_what_was	8465
#bi_the_will	8461
#bi_h_e	8460
#bi_think_it	8451
#bi_on_their	8449
#bi_#personalname_who	8440
#bi_beginning_of	8425
#bi_they_do	8419
#bi_them_by	8418
#bi_a_right	8417
#bi_which_in	8408
#bi_where_they	8401
#bi_to_show	8401
#bi_and_you	8391
#bi_father_and	8391
#bi_so_great	8385
#bi_the_government	8381
#bi_right_to	8366
#bi_of_mr	8357
#bi_#romannumeral_p	8355
#bi_and_her	8354
#bi_found_in	8341
#bi_and_one	8318
#bi_or_that	8308
#bi_the_glory	8303
#bi_people_of	8300
#bi_and_some	8299
#bi_all_our	8298
#bi_at_first	8296
#bi_it_must	8280
#bi_of_time	8266
#bi_which_have	8262
#bi_heart_and	8261
#bi_father_s	8241
#bi_on_that	8241
#bi_of_parliament	8240
#bi_day_and	8239
#bi_a_general	8236
#bi_favour_of	8222
#bi_o_o	8219
#bi_and_said	8216
#bi_because_he	8204
#bi_off_the	8201
#bi_but_not	8194
#bi_said_he	8188
#bi_as_are	8180
#bi_said_that	8179
#bi_#arabicnumeral_if	8177
#bi_seem_to	8176
#bi_of_things	8162
#bi_and_our	8161
#bi_god_the	8146
#bi_by_all	8132
#bi_thee_and	8124
#bi_let_him	8117
#bi_and_those	8113
#bi_only_the	8104
#bi_it_#arabicnumeral	8101
#bi_the_ancient	8093
#bi_have_had	8088
#bi_by_them	8074
#bi_to_prove	8073
#bi_and_consequently	8069
#bi_me_that	8067
#bi_h_#arabicnumeral	8055
#bi_life_of	8055
#bi_and_#monthoftheyear	8050
#bi_and_also	8046
#bi_an_account	8037
#bi_what_a	8031
#bi_#arabicnumeral_then	8030
#bi_upon_which	8026
#bi_#placename_was	8024
#bi_the_sun	8021
#bi_hands_of	8018
#bi_to_every	8015
#bi_one_and	8005
#bi_while_the	8003
#bi_that_thou	7999
#bi_in_heaven	7997
#bi_t_e	7996
#bi_#arabicnumeral_is	7996
#bi_your_own	7995
#bi_so_the	7995
#bi_t_i	7994
#bi_i_must	7993
#bi_a_large	7983
#bi_for_her	7980
#bi_his_name	7980
#bi_or_not	7978
#bi_been_the	7968
#bi_and_thus	7961
#bi_the_parliament	7943
#bi_to_and	7939
#bi_has_a	7934
#bi_from_it	7934
#bi_have_made	7924
#bi_himself_and	7924
#bi_to_believe	7906
#bi_peace_and	7892
#bi_a_thousand	7880
#bi_d_to	7867
#bi_and_upon	7858
#bi_the_reason	7855
#bi_words_of	7852
#bi_that_have	7848
#bi_of_war	7848
#bi_in_what	7846
#bi_has_not	7833
#bi_#romannumeral_r	7831
#bi_notice_of	7824
#bi_which_#monthoftheyear	7824
#bi_people_and	7822
#bi_hath_been	7822
#bi_him_but	7821
#bi_or_by	7821
#bi_into_#placename	7809
#bi_all_men	7808
#bi_less_than	7807
#bi_made_in	7799
#bi_the_hand	7796
#bi_the_middle	7790
#bi_the_young	7789
#bi_matter_of	7780
#bi_it_appears	7775
#bi_the_eye	7773
#bi_to_live	7772
#bi_the_throne	7772
#bi_we_find	7759
#bi_to_its	7754
#bi_they_did	7748
#bi_him_by	7747
#bi_i_#personalname	7741
#bi_man_who	7732
#bi_shall_have	7729
#bi_glory_of	7717
#bi_into_his	7710
#bi_the_peace	7707
#bi_though_they	7704
#bi_me_the	7703
#bi_my_father	7699
#bi_made_of	7698
